,date,year,month,day,dow,holiday,decade,prevcalls,sum,calls
181,2020-02-13,2020,2,13,3,1,2,3,1014503,1
182,2020-02-14,2020,2,14,4,1,2,1,1014503,2
183,2020-02-17,2020,2,17,0,1,2,2,1014503,4
184,2020-02-18,2020,2,18,1,1,2,4,1014503,4
185,2020-02-19,2020,2,19,2,1,2,4,1014503,1
186,2020-02-21,2020,2,21,4,1,2,1,1014503,2
187,2020-02-26,2020,2,26,2,1,3,2,1014503,6
188,2020-02-27,2020,2,27,3,1,3,6,1014503,2
189,2020-02-28,2020,2,28,4,1,3,2,1014503,4
190,2020-03-02,2020,3,2,0,1,1,4,1078909,5
191,2020-03-03,2020,3,3,1,1,1,5,1078909,3
192,2020-03-04,2020,3,4,2,1,1,3,1078909,2
193,2020-03-05,2020,3,5,3,1,1,2,1078909,6
194,2020-03-06,2020,3,6,4,1,1,6,1078909,2
195,2020-03-10,2020,3,10,1,1,2,2,1078909,5
196,2020-03-11,2020,3,11,2,0,2,5,1078909,12
197,2020-03-12,2020,3,12,3,1,2,12,1078909,4
198,2020-03-13,2020,3,13,4,1,2,4,1078909,5
199,2020-03-16,2020,3,16,0,1,2,5,1078909,8
200,2020-03-17,2020,3,17,1,1,2,8,1078909,8
201,2020-03-18,2020,3,18,2,1,2,8,1078909,2
202,2020-03-19,2020,3,19,3,1,2,2,1078909,1
203,2020-03-20,2020,3,20,4,1,2,1,1078909,3
204,2020-03-23,2020,3,23,0,0,2,3,1078909,25
205,2020-03-24,2020,3,24,1,1,2,25,1078909,5
206,2020-03-25,2020,3,25,2,1,2,5,1078909,4
207,2020-03-26,2020,3,26,3,1,3,4,1078909,9
208,2020-03-27,2020,3,27,4,0,3,9,1078909,43
209,2020-03-30,2020,3,30,0,0,3,43,1078909,67
210,2020-03-31,2020,3,31,1,0,3,67,1078909,23
211,2020-04-01,2020,4,1,2,0,1,23,1290820,118
212,2020-04-02,2020,4,2,3,0,1,118,1290820,89
213,2020-04-03,2020,4,3,4,0,1,89,1290820,107
214,2020-04-06,2020,4,6,0,0,1,107,1290820,143
215,2020-04-07,2020,4,7,1,0,2,143,1290820,104
216,2020-04-08,2020,4,8,2,0,2,104,1290820,71
217,2020-04-09,2020,4,9,3,0,2,71,1290820,82
218,2020-04-10,2020,4,10,4,0,2,82,1290820,56
219,2020-04-13,2020,4,13,0,0,2,56,1290820,80
220,2020-04-14,2020,4,14,1,0,2,80,1290820,61
221,2020-04-15,2020,4,15,2,0,2,61,1290820,71
222,2020-04-16,2020,4,16,3,0,2,71,1290820,60
223,2020-04-17,2020,4,17,4,0,2,60,1290820,96
224,2020-04-18,2020,4,18,5,1,2,96,1290820,1
225,2020-04-20,2020,4,20,0,0,2,1,1290820,57
226,2020-04-21,2020,4,21,1,0,2,57,1290820,63
227,2020-04-22,2020,4,22,2,0,2,63,1290820,55
228,2020-04-23,2020,4,23,3,0,2,55,1290820,59
229,2020-04-24,2020,4,24,4,0,2,59,1290820,73
230,2020-04-27,2020,4,27,0,0,3,73,1290820,57
231,2020-04-28,2020,4,28,1,0,3,57,1290820,50
232,2020-04-29,2020,4,29,2,0,3,50,1290820,58
233,2020-04-30,2020,4,30,3,0,3,58,1290820,46
234,2020-05-02,2020,5,2,5,1,1,46,929091,2
235,2020-05-06,2020,5,6,2,0,1,2,929091,41
236,2020-05-07,2020,5,7,3,0,2,41,929091,24
237,2020-05-08,2020,5,8,4,0,2,24,929091,47
238,2020-05-12,2020,5,12,1,0,2,47,929091,85
239,2020-05-13,2020,5,13,2,0,2,85,929091,65
240,2020-05-14,2020,5,14,3,0,2,65,929091,60
241,2020-05-15,2020,5,15,4,0,2,60,929091,62
242,2020-05-18,2020,5,18,0,0,2,62,929091,69
243,2020-05-19,2020,5,19,1,0,2,69,929091,62
244,2020-05-20,2020,5,20,2,0,2,62,929091,64
245,2020-05-21,2020,5,21,3,0,2,64,929091,43
246,2020-05-22,2020,5,22,4,0,2,43,929091,54
247,2020-05-25,2020,5,25,0,0,2,54,929091,48
248,2020-05-26,2020,5,26,1,0,3,48,929091,54
249,2020-05-27,2020,5,27,2,0,3,54,929091,62
250,2020-05-28,2020,5,28,3,0,3,62,929091,45
251,2020-05-29,2020,5,29,4,0,3,45,929091,58
252,2020-06-01,2020,6,1,0,0,1,58,910197,111
253,2020-06-02,2020,6,2,1,0,1,111,910197,60
254,2020-06-03,2020,6,3,2,0,1,60,910197,57
255,2020-06-04,2020,6,4,3,0,1,57,910197,47
256,2020-06-05,2020,6,5,4,0,1,47,910197,66
257,2020-06-08,2020,6,8,0,0,2,66,910197,73
258,2020-06-09,2020,6,9,1,0,2,73,910197,58
259,2020-06-10,2020,6,10,2,0,2,58,910197,37
260,2020-06-11,2020,6,11,3,0,2,37,910197,58
261,2020-06-12,2020,6,12,4,1,2,58,910197,3
262,2020-06-15,2020,6,15,0,0,2,3,910197,65
263,2020-06-16,2020,6,16,1,0,2,65,910197,50
264,2020-06-17,2020,6,17,2,0,2,50,910197,59
265,2020-06-18,2020,6,18,3,0,2,59,910197,36
266,2020-06-19,2020,6,19,4,0,2,36,910197,43
267,2020-06-22,2020,6,22,0,0,2,43,910197,56
268,2020-06-23,2020,6,23,1,0,2,56,910197,53
269,2020-06-25,2020,6,25,3,0,2,53,910197,52
270,2020-06-26,2020,6,26,4,0,3,52,910197,48
271,2020-06-29,2020,6,29,0,0,3,48,910197,65
272,2020-06-30,2020,6,30,1,0,3,65,910197,76
273,2020-07-02,2020,7,2,3,0,1,76,1177307,47
274,2020-07-03,2020,7,3,4,0,1,47,1177307,65
275,2020-07-04,2020,7,4,5,1,1,65,1177307,2
276,2020-07-06,2020,7,6,0,0,1,2,1177307,59
277,2020-07-07,2020,7,7,1,0,2,59,1177307,67
278,2020-07-08,2020,7,8,2,0,2,67,1177307,70
279,2020-07-09,2020,7,9,3,0,2,70,1177307,44
280,2020-07-10,2020,7,10,4,0,2,44,1177307,42
281,2020-07-11,2020,7,11,5,1,2,42,1177307,1
282,2020-07-13,2020,7,13,0,0,2,1,1177307,83
283,2020-07-14,2020,7,14,1,0,2,83,1177307,69
284,2020-07-15,2020,7,15,2,0,2,69,1177307,53
285,2020-07-16,2020,7,16,3,0,2,53,1177307,65
286,2020-07-17,2020,7,17,4,0,2,65,1177307,56
287,2020-07-19,2020,7,19,6,1,2,56,1177307,1
288,2020-07-20,2020,7,20,0,0,2,1,1177307,55
289,2020-07-21,2020,7,21,1,0,2,55,1177307,41
290,2020-07-22,2020,7,22,2,0,2,41,1177307,57
291,2020-07-23,2020,7,23,3,0,2,57,1177307,54
292,2020-07-24,2020,7,24,4,0,2,54,1177307,59
293,2020-07-26,2020,7,26,6,1,3,59,1177307,1
294,2020-07-27,2020,7,27,0,0,3,1,1177307,53
295,2020-07-28,2020,7,28,1,0,3,53,1177307,72
296,2020-07-29,2020,7,29,2,0,3,72,1177307,66
297,2020-07-30,2020,7,30,3,0,3,66,1177307,46
298,2020-07-31,2020,7,31,4,0,3,46,1177307,34
299,2020-08-01,2020,8,1,5,1,1,34,1056180,1
300,2020-08-03,2020,8,3,0,0,1,1,1056180,67
301,2020-08-04,2020,8,4,1,0,1,67,1056180,43
302,2020-08-05,2020,8,5,2,0,1,43,1056180,68
303,2020-08-06,2020,8,6,3,0,1,68,1056180,55
304,2020-08-07,2020,8,7,4,0,2,55,1056180,42
305,2020-08-08,2020,8,8,5,1,2,42,1056180,1
306,2020-08-10,2020,8,10,0,0,2,1,1056180,46
307,2020-08-11,2020,8,11,1,0,2,46,1056180,40
308,2020-08-12,2020,8,12,2,0,2,40,1056180,63
309,2020-08-13,2020,8,13,3,0,2,63,1056180,46
310,2020-08-14,2020,8,14,4,0,2,46,1056180,28
311,2020-08-17,2020,8,17,0,0,2,28,1056180,68
312,2020-08-18,2020,8,18,1,0,2,68,1056180,45
313,2020-08-19,2020,8,19,2,0,2,45,1056180,60
314,2020-08-20,2020,8,20,3,0,2,60,1056180,43
315,2020-08-21,2020,8,21,4,0,2,43,1056180,42
316,2020-08-24,2020,8,24,0,0,2,42,1056180,48
317,2020-08-25,2020,8,25,1,0,2,48,1056180,73
318,2020-08-26,2020,8,26,2,0,3,73,1056180,75
319,2020-08-27,2020,8,27,3,0,3,75,1056180,52
320,2020-08-28,2020,8,28,4,0,3,52,1056180,56
321,2020-08-31,2020,8,31,0,0,3,56,1056180,74
322,2020-09-01,2020,9,1,1,0,1,74,1222545,66
323,2020-09-02,2020,9,2,2,0,1,66,1222545,55
324,2020-09-03,2020,9,3,3,0,1,55,1222545,46
325,2020-09-04,2020,9,4,4,0,1,46,1222545,46
326,2020-09-07,2020,9,7,0,0,2,46,1222545,61
327,2020-09-08,2020,9,8,1,0,2,61,1222545,70
328,2020-09-09,2020,9,9,2,0,2,70,1222545,41
329,2020-09-10,2020,9,10,3,0,2,41,1222545,37
330,2020-09-11,2020,9,11,4,0,2,37,1222545,33
331,2020-09-14,2020,9,14,0,0,2,33,1222545,59
332,2020-09-15,2020,9,15,1,0,2,59,1222545,48
333,2020-09-16,2020,9,16,2,0,2,48,1222545,57
334,2020-09-17,2020,9,17,3,0,2,57,1222545,52
335,2020-09-18,2020,9,18,4,0,2,52,1222545,35
336,2020-09-19,2020,9,19,5,1,2,35,1222545,1
337,2020-09-21,2020,9,21,0,0,2,1,1222545,36
338,2020-09-22,2020,9,22,1,0,2,36,1222545,40
339,2020-09-23,2020,9,23,2,0,2,40,1222545,68
340,2020-09-24,2020,9,24,3,0,2,68,1222545,51
341,2020-09-25,2020,9,25,4,0,2,51,1222545,69
342,2020-09-27,2020,9,27,6,1,3,69,1222545,2
343,2020-09-28,2020,9,28,0,0,3,2,1222545,92
344,2020-09-29,2020,9,29,1,0,3,92,1222545,69
345,2020-09-30,2020,9,30,2,0,3,69,1222545,69
346,2020-10-01,2020,10,1,3,0,1,69,1169082,48
347,2020-10-02,2020,10,2,4,0,1,48,1169082,94
348,2020-10-03,2020,10,3,5,1,1,94,1169082,1
349,2020-10-05,2020,10,5,0,0,1,1,1169082,56
350,2020-10-06,2020,10,6,1,0,1,56,1169082,49
351,2020-10-07,2020,10,7,2,0,2,49,1169082,71
352,2020-10-08,2020,10,8,3,0,2,71,1169082,57
353,2020-10-09,2020,10,9,4,0,2,57,1169082,50
354,2020-10-12,2020,10,12,0,0,2,50,1169082,66
355,2020-10-13,2020,10,13,1,0,2,66,1169082,47
356,2020-10-14,2020,10,14,2,0,2,47,1169082,66
357,2020-10-15,2020,10,15,3,0,2,66,1169082,69
358,2020-10-16,2020,10,16,4,0,2,69,1169082,61
359,2020-10-17,2020,10,17,5,1,2,61,1169082,1
360,2020-10-19,2020,10,19,0,0,2,1,1169082,36
361,2020-10-20,2020,10,20,1,0,2,36,1169082,52
362,2020-10-21,2020,10,21,2,0,2,52,1169082,48
363,2020-10-22,2020,10,22,3,0,2,48,1169082,30
364,2020-10-23,2020,10,23,4,0,2,30,1169082,52
365,2020-10-26,2020,10,26,0,0,3,52,1169082,41
366,2020-10-27,2020,10,27,1,0,3,41,1169082,50
367,2020-10-28,2020,10,28,2,0,3,50,1169082,46
368,2020-10-29,2020,10,29,3,0,3,46,1169082,47
369,2020-10-30,2020,10,30,4,0,3,47,1169082,45
370,2020-11-02,2020,11,2,0,0,1,45,1065290,71
371,2020-11-03,2020,11,3,1,0,1,71,1065290,46
372,2020-11-05,2020,11,5,3,0,1,46,1065290,62
373,2020-11-06,2020,11,6,4,0,1,62,1065290,62
374,2020-11-09,2020,11,9,0,0,2,62,1065290,48
375,2020-11-10,2020,11,10,1,0,2,48,1065290,50
376,2020-11-11,2020,11,11,2,0,2,50,1065290,42
377,2020-11-12,2020,11,12,3,0,2,42,1065290,42
378,2020-11-13,2020,11,13,4,0,2,42,1065290,38
379,2020-11-15,2020,11,15,6,1,2,38,1065290,1
380,2020-11-16,2020,11,16,0,0,2,1,1065290,49
381,2020-11-17,2020,11,17,1,0,2,49,1065290,49
382,2020-11-18,2020,11,18,2,0,2,49,1065290,51
383,2020-11-19,2020,11,19,3,0,2,51,1065290,45
384,2020-11-20,2020,11,20,4,0,2,45,1065290,55
385,2020-11-23,2020,11,23,0,0,2,55,1065290,43
386,2020-11-24,2020,11,24,1,0,2,43,1065290,74
387,2020-11-25,2020,11,25,2,0,2,74,1065290,44
388,2020-11-26,2020,11,26,3,0,3,44,1065290,48
389,2020-11-27,2020,11,27,4,0,3,48,1065290,56
390,2020-11-30,2020,11,30,0,0,3,56,1065290,51
391,2020-12-01,2020,12,1,1,0,1,51,1377753,56
392,2020-12-02,2020,12,2,2,0,1,56,1377753,71
393,2020-12-03,2020,12,3,3,0,1,71,1377753,52
394,2020-12-04,2020,12,4,4,0,1,52,1377753,59
395,2020-12-07,2020,12,7,0,0,2,59,1377753,69
396,2020-12-08,2020,12,8,1,0,2,69,1377753,55
397,2020-12-09,2020,12,9,2,0,2,55,1377753,51
398,2020-12-10,2020,12,10,3,0,2,51,1377753,79
399,2020-12-11,2020,12,11,4,0,2,79,1377753,61
400,2020-12-12,2020,12,12,5,1,2,61,1377753,2
401,2020-12-14,2020,12,14,0,0,2,2,1377753,49
402,2020-12-15,2020,12,15,1,0,2,49,1377753,58
403,2020-12-16,2020,12,16,2,0,2,58,1377753,47
404,2020-12-17,2020,12,17,3,0,2,47,1377753,57
405,2020-12-18,2020,12,18,4,0,2,57,1377753,72
406,2020-12-21,2020,12,21,0,0,2,72,1377753,70
407,2020-12-22,2020,12,22,1,0,2,70,1377753,54
408,2020-12-23,2020,12,23,2,0,2,54,1377753,61
409,2020-12-24,2020,12,24,3,0,2,61,1377753,45
410,2020-12-25,2020,12,25,4,0,2,45,1377753,46
411,2020-12-26,2020,12,26,5,1,3,46,1377753,4
412,2020-12-28,2020,12,28,0,0,3,4,1377753,49
413,2020-12-29,2020,12,29,1,0,3,49,1377753,50
414,2021-01-02,2021,1,2,5,1,1,50,972462,2
415,2021-01-04,2021,1,4,0,1,1,2,972462,6
416,2021-01-05,2021,1,5,1,1,1,6,972462,3
417,2021-01-06,2021,1,6,2,1,1,3,972462,6
418,2021-01-11,2021,1,11,0,0,1,6,972462,86
419,2021-01-12,2021,1,12,1,0,1,86,972462,59
420,2021-01-13,2021,1,13,2,0,1,59,972462,52
421,2021-01-14,2021,1,14,3,0,1,52,972462,66
422,2021-01-15,2021,1,15,4,0,2,66,972462,53
423,2021-01-16,2021,1,16,5,1,2,53,972462,1
424,2021-01-18,2021,1,18,0,0,2,1,972462,71
425,2021-01-19,2021,1,19,1,0,2,71,972462,73
426,2021-01-20,2021,1,20,2,0,2,73,972462,77
427,2021-01-21,2021,1,21,3,0,2,77,972462,75
428,2021-01-22,2021,1,22,4,0,2,75,972462,53
429,2021-01-25,2021,1,25,0,0,2,53,972462,59
430,2021-01-26,2021,1,26,1,0,3,59,972462,59
431,2021-01-27,2021,1,27,2,0,3,59,972462,68
432,2021-01-28,2021,1,28,3,0,3,68,972462,59
433,2021-01-29,2021,1,29,4,0,3,59,972462,64
434,2021-02-01,2021,2,1,0,0,1,64,1218827,57
